"site","id","date","WAT20"
"MUDS2","103",2010-07-06,0
"MUDS2","103",2010-07-07,0
"MUDS2","103",2010-07-08,0.002
"MUDS2","103",2010-07-09,0.004
"MUDS2","103",2010-07-10,0.006
"MUDS2","103",2010-07-11,0.005
"MUDS2","103",2010-07-12,0.009
"MUDS2","103",2010-07-13,0.011
"MUDS2","103",2010-07-14,0.012
"MUDS2","103",2010-07-15,0.014
"MUDS2","103",2010-07-16,0.032
"MUDS2","103",2010-07-17,0.017
"MUDS2","103",2010-07-18,0.05
"MUDS2","103",2010-07-19,0.036
"MUDS2","103",2010-07-20,0.039
"MUDS2","103",2010-07-21,0.023
"MUDS2","103",2010-07-22,0.027
"MUDS2","103",2010-07-23,0.162
"MUDS2","103",2010-07-24,0.122
"MUDS2","103",2010-07-25,0.107
"MUDS2","103",2010-07-26,0.108
"MUDS2","103",2010-07-27,0.109
"MUDS2","103",2010-07-28,0.071
"MUDS2","103",2010-07-29,0.041
"MUDS2","103",2010-07-30,0.042
"MUDS2","103",2010-07-31,0.042
"MUDS2","103",2010-08-01,0.084
"MUDS2","103",2010-08-02,0.073
"MUDS2","103",2010-08-03,0.113
"MUDS2","103",2010-08-04,0.218
"MUDS2","103",2010-08-05,0.006
"MUDS2","103",2010-08-06,0.043
"MUDS2","103",2010-08-07,0.115
"MUDS2","103",2010-08-08,0.147
"MUDS2","103",2010-08-09,0.088
"MUDS2","103",2010-08-10,0.149
"MUDS2","103",2010-08-11,0.372
"MUDS2","103",2010-08-12,0.044
"MUDS2","103",2010-08-13,0.118
"MUDS2","103",2010-08-14,0.229
"MUDS2","103",2010-08-15,0.06
"MUDS2","103",2010-08-16,0.232
"MUDS2","103",2010-08-17,0.233
"MUDS2","103",2010-08-18,0.046
"MUDS2","103",2010-08-19,0.046
"MUDS2","103",2010-08-20,0.142
"MUDS2","103",2010-08-21,0.294
"MUDS2","103",2010-08-22,0.238
"MUDS2","103",2010-08-23,0.239
"MUDS2","103",2010-08-24,0.195
"MUDS2","103",2010-08-25,0.156
"MUDS2","103",2010-08-26,0.121
"MUDS2","103",2010-08-27,0.09
"MUDS2","103",2010-08-28,0.064
"MUDS2","103",2010-08-29,0.064
"MUDS2","103",2010-08-30,0.048
"MUDS2","103",2010-08-31,0.098
"MUDS2","103",2010-09-01,0.049
"MUDS2","103",2010-09-02,0.049
"MUDS2","103",2010-09-03,0.049
"MUDS2","103",2010-09-04,0.049
"MUDS2","103",2010-09-05,0.05
"MUDS2","103",2010-09-06,0
"MUDS2","103",2010-09-07,0
"MUDS2","103",2010-09-08,0.024
"MUDS2","103",2010-09-09,0.002
"MUDS2","103",2010-09-10,0
"MUDS2","103",2010-09-11,0
"MUDS2","103",2010-09-12,0
"MUDS2","103",2010-09-13,0
"MUDS2","103",2010-09-14,0
"MUDS2","103",2010-09-15,0
"MUDS2","103",2010-09-16,0
"MUDS2","103",2010-09-17,0
"MUDS2","103",2010-09-18,0
"MUDS2","103",2010-09-19,0
"MUDS2","103",2010-09-20,0
"MUDS2","103",2010-09-21,0
