State,Site ID,Plot ID,year,drainage treatment ,crop ,yield (kg/ha)
IN,DPAC,NE,2011,free drainage,soy,4132
IN,DPAC,NW,2011,controlled drainage,soy,4159
IN,DPAC,SE,2011,controlled drainage,soy,4206
IN,DPAC,SW,2011,free drainage,soy,4084
IN,DPAC,NE,2012,free drainage,corn,7869
IN,DPAC,NW,2012,controlled drainage,corn,8543
IN,DPAC,SE,2012,controlled drainage,corn,7869
IN,DPAC,SW,2012,free drainage,corn,7699
IN,DPAC,NE,2013,free drainage,soy,3956
IN,DPAC,NW,2013,controlled drainage,soy,4091
IN,DPAC,SE,2013,controlled drainage,soy,4064
IN,DPAC,SW,2013,free drainage,soy,4010
IN,DPAC,NE,2014,free drainage,corn,12272
IN,DPAC,NW,2014,controlled drainage,corn,12254
IN,DPAC,SE,2014,controlled drainage,corn,12291
IN,DPAC,SW,2014,free drainage,corn,11850
IN,DPAC,NE,2015,free drainage,soy,3309
IN,DPAC,NW,2015,controlled drainage,soy,3552
IN,DPAC,SE,2015,controlled drainage,soy,3458
IN,DPAC,SW,2015,free drainage,soy,3485
OH,HENRY,West,2008,free drainage,popcorn,3619
OH,HENRY,East,2008,controlled drainage,popcorn,3681
OH,HENRY,West,2009,free drainage,corn,11646
OH,HENRY,East,2009,controlled drainage,corn,13665
OH,HENRY,West,2010,free drainage,soy,3016
OH,HENRY,East,2010,controlled drainage,soy,3016
OH,HENRY,West,2011,free drainage,popcorn,16523
OH,HENRY,East,2011,controlled drainage,popcorn,16523
MN,HICKS_B,BW,2006,controlled drainage,,12103
MN,HICKS_B,BE,2006,free drainage,,12103
MN,HICKS_B,BW,2007,controlled drainage,,10159
MN,HICKS_B,BE,2007,free drainage,,9908
MN,HICKS_B,BW,2009,controlled drainage,,14110
MN,HICKS_B,BE,2009,free drainage,,12667
MN,HICKS_B,BW,2010,controlled drainage,,11037
MN,HICKS_B,BE,2010,free drainage,,11413
MN,HICKS_B,BW,2011,controlled drainage,,10347
MN,HICKS_B,BE,2011,free drainage,,10222
MN,HICKS_B,BE32,2012,free drainage,corn,9403
MN,HICKS_B,BE35,2012,free drainage,corn,8526
MN,HICKS_B,BE40,2012,free drainage,corn,10418
MN,HICKS_B,BW8,2012,controlled drainage,corn,9663
MN,HICKS_B,BW19,2012,controlled drainage,corn,8641
MN,HICKS_B,BW25,2012,controlled drainage,corn,9656
MN,HICKS_B,BE32,2013,free drainage,corn,9021
MN,HICKS_B,BE35,2013,free drainage,corn,7389
MN,HICKS_B,BE40,2013,free drainage,corn,9795
MN,HICKS_B,BW8,2013,controlled drainage,corn,9356
MN,HICKS_B,BW19,2013,controlled drainage,corn,7972
MN,HICKS_B,BW25,2013,controlled drainage,corn,9250
MN,HICKS_B,BE32,2014,free drainage,corn,9370
MN,HICKS_B,BE35,2014,free drainage,corn,9130
MN,HICKS_B,BE40,2014,free drainage,corn,9134
MN,HICKS_B,BW8,2014,controlled drainage,corn,8540
MN,HICKS_B,BW19,2014,controlled drainage,corn,9164
MN,HICKS_B,BW25,2014,controlled drainage,corn,10035
MN,HICKS_B,BE32,2015,free drainage,corn,13116
MN,HICKS_B,BE35,2015,free drainage,corn,11774
MN,HICKS_B,BE40,2015,free drainage,corn,13403
MN,HICKS_B,BW8,2015,controlled drainage,corn,10500
MN,HICKS_B,BW19,2015,controlled drainage,corn,12816
MN,HICKS_B,BW25,2015,controlled drainage,corn,12602
MO,MUDS2,101,2010,no drainage,corn,5160
MO,MUDS2,102,2010,no drainage,corn,6798
MO,MUDS2,103,2010,controlled drainage,corn,7055
MO,MUDS2,104,2010,free drainage,corn,7865
MO,MUDS2,105,2010,free drainage,corn,6723
MO,MUDS2,106,2010,controlled drainage,corn,6767
MO,MUDS2,107,2010,no drainage,corn,2191
MO,MUDS2,201,2010,controlled drainage,corn,7093
MO,MUDS2,202,2010,controlled drainage,corn,6591
MO,MUDS2,203,2010,no drainage,corn,6641
MO,MUDS2,204,2010,no drainage,corn,7645
MO,MUDS2,205,2010,free drainage,corn,5882
MO,MUDS2,206,2010,free drainage,corn,6227
MO,MUDS2,207,2010,no drainage,corn,2969
MO,MUDS2,101,2011,no drainage,corn,1381
MO,MUDS2,102,2011,no drainage,corn,5022
MO,MUDS2,103,2011,controlled drainage,corn,3515
MO,MUDS2,104,2011,free drainage,corn,3302
MO,MUDS2,105,2011,free drainage,corn,3879
MO,MUDS2,106,2011,controlled drainage,corn,3132
MO,MUDS2,107,2011,no drainage,corn,885
MO,MUDS2,201,2011,controlled drainage,corn,4501
MO,MUDS2,202,2011,controlled drainage,corn,5116
MO,MUDS2,203,2011,no drainage,corn,5524
MO,MUDS2,204,2011,no drainage,corn,4306
MO,MUDS2,205,2011,free drainage,corn,4689
MO,MUDS2,206,2011,free drainage,corn,4814
MO,MUDS2,207,2011,no drainage,corn,873
MO,MUDS2,101,2012,no drainage,corn,2705
MO,MUDS2,102,2012,no drainage,corn,3233
MO,MUDS2,103,2012,controlled drainage,corn,3609
MO,MUDS2,104,2012,free drainage,corn,3195
MO,MUDS2,105,2012,free drainage,corn,3214
MO,MUDS2,106,2012,controlled drainage,corn,3427
MO,MUDS2,107,2012,no drainage,corn,860
MO,MUDS2,201,2012,controlled drainage,corn,3333
MO,MUDS2,202,2012,controlled drainage,corn,3534
MO,MUDS2,203,2012,no drainage,corn,3170
MO,MUDS2,204,2012,no drainage,corn,2919
MO,MUDS2,205,2012,free drainage,corn,3069
MO,MUDS2,206,2012,free drainage,corn,3195
MO,MUDS2,207,2012,no drainage,corn,672
MO,MUDS2,101,2013,no drainage,corn,5568
MO,MUDS2,102,2013,no drainage,corn,6817
MO,MUDS2,103,2013,controlled drainage,corn,8198
MO,MUDS2,104,2013,free drainage,corn,8813
MO,MUDS2,105,2013,free drainage,corn,8367
MO,MUDS2,106,2013,controlled drainage,corn,8687
MO,MUDS2,107,2013,no drainage,corn,3358
MO,MUDS2,201,2013,controlled drainage,corn,8198
MO,MUDS2,202,2013,controlled drainage,corn,8951
MO,MUDS2,203,2013,no drainage,corn,8719
MO,MUDS2,204,2013,no drainage,corn,8581
MO,MUDS2,205,2013,free drainage,corn,8179
MO,MUDS2,206,2013,free drainage,corn,9001
MO,MUDS2,207,2013,no drainage,corn,1845
MO,MUDS2,101,2014,no drainage,corn,4783
MO,MUDS2,102,2014,no drainage,corn,7827
MO,MUDS2,103,2014,controlled drainage,corn,7281
MO,MUDS2,104,2014,free drainage,corn,7438
MO,MUDS2,105,2014,free drainage,corn,6955
MO,MUDS2,106,2014,controlled drainage,corn,7551
MO,MUDS2,107,2014,no drainage,corn,4237
MO,MUDS2,201,2014,controlled drainage,corn,10288
MO,MUDS2,202,2014,controlled drainage,corn,11562
MO,MUDS2,203,2014,no drainage,corn,11324
MO,MUDS2,204,2014,no drainage,corn,10388
MO,MUDS2,205,2014,free drainage,corn,10119
MO,MUDS2,206,2014,free drainage,corn,10131
MO,MUDS2,207,2014,no drainage,corn,3189
MO,MUDS2,101,2015,no drainage,corn,2486
MO,MUDS2,102,2015,no drainage,corn,3082
MO,MUDS2,103,2015,controlled drainage,corn,2191
MO,MUDS2,104,2015,free drainage,corn,2172
